ID,ST_CNTYNAME,GENDER,HISPANIC,ETHNIC,ETHNIC2,AGE_20161231,AGECAT7,SPELLAGE,INYEAR,SPELL,START,STOP,SPELLONE,TYPE,PLACE1,PLACE2,PLACE2_DATE,LASTPLACE,LEVELCHG,NPLACES,MOVES,DISCH,RUNS,REENTER,DURAT,DURMO,DURCAT,RECAT,EXIT,IM,IY,IYMO,OM,OY,OYMO
3000901899,PA_Allegheny,F,U,WH,WH,20,7,17,2014,1,1/2/14,4/29/14,1,SG,PSG, , ,PSG,0,1,0,1,0,0,117,3.836065574,3,6,XRF,1,2014,201401,4,2014,201404
3002061648,PA_Allegheny,M,U,BL,BL,7,3,4,2014,1,1/3/14,3/4/14,1,KC,PKC, , ,PKC,0,1,0,1,0,0,60,1.967213115,2,6,XRF,1,2014,201401,3,2014,201403
3002306442,PA_Allegheny,M,N,WH,WH,3,1,0,2014,1,1/3/14,2/25/14,1,KC,PKC, , ,PKC,0,1,0,1,0,1,53,1.737704918,2,1,XRF,1,2014,201401,2,2014,201402
3002012787,PA_Allegheny,M,N,BL,BL,6,3,4,2014,1,1/6/14,8/2/16,1,FC,PFC, , ,PFC,0,1,0,1,0,0,939,30.78688525,6,3,XLC,1,2014,201401,8,2016,201608
3002035176,PA_Allegheny,F,N,BL,BL,5,2,2,2014,1,1/6/14,8/2/16,1,KC,PKC, , ,PKC,0,1,0,1,0,0,939,30.78688525,6,3,XLC,1,2014,201401,8,2016,201608
3002318985,PA_Allegheny,F,U,WH,WH,20,7,17,2014,1,1/6/14,1/17/14,1,SG,PSG, , ,PSG,0,1,0,1,0,0,11,0.360655738,1,6,XOT,1,2014,201401,1,2014,201401
3002319258,PA_Allegheny,F,Y,BL,BL,2,1,0,2014,1,1/6/14,1/10/14,1,FC,PFC, , ,PFC,0,1,0,1,0,1,4,0.131147541,1,3,XRF,1,2014,201401,1,2014,201401
3002073942,PA_Allegheny,F,N,WH,WH,6,3,3,2014,1,1/7/14,6/12/14,1,KC,PKC, , ,PKC,0,1,0,1,0,1,156,5.114754098,3,6,XRF,1,2014,201401,6,2014,201406
3002258610,PA_Allegheny,M,Y,OT,OT,3,1,0,2014,1,1/7/14,11/19/16,1,FC,PSF,PKC,1/10/14,PFC,1,4,3,1,0,0,1047,34.32786885,6,2,XCA,1,2014,201401,11,2016,201611
3001574295,PA_Allegheny,F,U,BL,BL,19,7,16,2014,1,1/8/14,3/1/14,1,GH,PSG,PGH,1/23/14,PGH,1,2,1,1,1,1,52,1.704918033,2,2,XRY,1,2014,201401,3,2014,201403
